,frequency,docIDs
тепло,11,"[0, 1, 3, 4, 7, 10, 11, 12, 15, 16, 17]"
задрала,1,[0]
шмат,7,"[0, 4, 5, 8, 10, 11, 13]"
злостився,1,[0]
потребувало,3,"[0, 10, 15]"
держиться,7,"[0, 1, 4, 5, 7, 10, 17]"
тайгою,1,[0]
насупив,3,"[0, 4, 17]"
комірчини,3,"[0, 4, 10]"
вистрілив,3,"[0, 7, 12]"
заялозені,1,[0]
який,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
схильний,1,[0]
наївного,1,[0]
встає,6,"[0, 4, 8, 9, 15, 16]"
трималася,3,"[0, 7, 15]"
приготовлену,1,[0]
хотів,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
змарнованих,1,[0]
чортовим,1,[0]
криги,2,"[0, 11]"
мужських,1,[0]
завернути,2,"[0, 7]"
різне,1,[0]
балбєси,1,[0]
лагідну,3,"[0, 7, 10]"
ходять,12,"[0, 1, 4, 5, 7, 8, 9, 10, 11, 14, 15, 17]"
вчили,5,"[0, 1, 4, 8, 16]"
стискаючи,4,"[0, 1, 10, 12]"
співбесідника,1,[0]
голос,16,"[0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
особливо,7,"[0, 1, 7, 8, 10, 15, 16]"
молодості,2,"[0, 10]"
мав,15,"[0, 1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17]"
хрестом,8,"[0, 2, 4, 5, 7, 8, 10, 11]"
дітись,5,"[0, 4, 5, 8, 17]"
велетенські,2,"[0, 10]"
опановувати,3,"[0, 1, 10]"
дали,12,"[0, 1, 4, 5, 7, 8, 10, 11, 12, 14, 16, 17]"
бровами,9,"[0, 4, 5, 7, 8, 9, 12, 16, 17]"
завгодно,1,[0]
гідно,3,"[0, 1, 11]"
жертв,1,[0]
наморозили,1,[0]
похилені,3,"[0, 4, 10]"
чорнобривий,3,"[0, 8, 9]"
поверхня,2,"[0, 1]"
почистились,1,[0]
об'їхав,1,[0]
жаский,1,[0]
чобіт,6,"[0, 4, 5, 10, 16, 17]"
приглядався,2,"[0, 7]"
загубитись,1,[0]
їсть,8,"[0, 3, 4, 8, 10, 11, 16, 17]"
комплексом,1,[0]
розглядати,2,"[0, 10]"
тріщить,5,"[0, 4, 11, 15, 16]"
звуть,8,"[0, 1, 8, 10, 11, 14, 16, 17]"
трипілля,1,[0]
льодівні,1,[0]
ліпших,3,"[0, 1, 7]"
скучав,1,[0]
пристосувався,1,[0]
мішені,1,[0]
нервового,1,[0]
викидаючи,1,[0]
борюкались,2,"[0, 4]"
чорта,11,"[0, 1, 4, 5, 6, 7, 8, 10, 13, 15, 16]"
немилосердно,5,"[0, 1, 4, 7, 10]"
сп'ялось,1,[0]
заходу,5,"[0, 1, 2, 6, 7]"
кози,5,"[0, 5, 11, 15, 17]"
смієшся,7,"[0, 4, 7, 8, 9, 15, 17]"
стояти,11,"[0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 17]"
вийде,13,"[0, 1, 3, 4, 5, 7, 8, 9, 11, 14, 15, 16, 17]"
владивостока,1,[0]
ждати,8,"[0, 1, 4, 5, 7, 8, 9, 17]"
нерозшифрованої,1,[0]
поторсавши,1,[0]
пекло,11,"[0, 1, 4, 5, 7, 8, 10, 11, 12, 14, 17]"
м'яких,6,"[0, 1, 3, 4, 7, 10]"
бринить,5,"[0, 10, 11, 14, 15]"
оселедці,4,"[0, 5, 10, 17]"
підсвідомості,2,"[0, 10]"
змінила,3,"[0, 5, 7]"
проклятій,3,"[0, 5, 8]"
морозяна,1,[0]
європа,1,[0]
кораблі,2,"[0, 8]"
вечерю,9,"[0, 4, 5, 7, 8, 10, 12, 15, 17]"
вітер,17,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
душевний,3,"[0, 7, 10]"
лізти,5,"[0, 4, 7, 8, 9]"
скинула,4,"[0, 10, 15, 17]"
череп,4,"[0, 1, 8, 11]"
задивилася,3,"[0, 4, 17]"
деревах,5,"[0, 3, 7, 10, 11]"
ковбої,1,[0]
бази,1,[0]
іншого,11,"[0, 1, 3, 4, 5, 7, 8, 9, 10, 11, 14]"
бокомбоком,1,[0]
пантелику,3,"[0, 4, 16]"
присівши,2,"[0, 4]"
з'являються,3,"[0, 9, 10]"
поривом,2,"[0, 10]"
одтявши,1,[0]
птахів,4,"[0, 7, 10, 15]"
дурніші,2,"[0, 8]"
розрахуватися,1,[0]
виганяйтесь,1,[0]
взяла,14,"[0, 1, 3, 4, 5, 6, 7, 8, 10, 11, 12, 14, 15, 17]"
дірамидуплами,1,[0]
імпотенти,1,[0]
шамани,1,[0]
плями,9,"[0, 3, 4, 5, 6, 7, 10, 12, 15]"
гімн,2,"[0, 8]"
соцзмагання,1,[0]
руках,17,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17]"
нумер,2,"[0, 14]"
юнак,5,"[0, 5, 10, 12, 14]"
забавляй,2,"[0, 8]"
горностаєвими,1,[0]
гнав,5,"[0, 7, 10, 11, 15]"
циклопічний,1,[0]
заповзають,1,[0]
колишню,2,"[0, 10]"
зійшлись,6,"[0, 1, 5, 8, 11, 15]"
найліпше,3,"[0, 1, 7]"
низом,3,"[0, 1, 4]"
рукавицями,1,[0]
золотій,3,"[0, 4, 8]"
паличкистукалочки,1,[0]
наставленими,1,[0]
діру,3,"[0, 11, 15]"
зеленому,5,"[0, 4, 5, 8, 17]"
трижди,1,[0]
охрестив,3,"[0, 4, 10]"
луска,2,"[0, 17]"
пеньках,1,[0]
діри,2,"[0, 1]"
море,13,"[0, 1, 2, 4, 5, 7, 8, 10, 11, 13, 14, 15, 17]"
головами,10,"[0, 1, 4, 5, 7, 8, 10, 11, 15, 17]"
відстаючи,1,[0]
пляма,5,"[0, 4, 7, 9, 10]"
визволення,3,"[0, 8, 10]"
починаються,2,"[0, 10]"
сіючи,2,"[0, 5]"
гнусом,1,[0]
шаную,2,"[0, 7]"
виїмковий,1,[0]
простуючи,2,"[0, 10]"
дрібен,1,[0]
розкуркулених,1,[0]
стрілецтві,1,[0]
ремузів,1,[0]
зазначивши,1,[0]
кожною,4,"[0, 7, 10, 12]"
історичної,1,[0]
замітає,2,"[0, 8]"
манюньких,1,[0]
гору,12,"[0, 1, 2, 4, 5, 6, 8, 10, 11, 14, 15, 17]"
поніс,5,"[0, 4, 5, 8, 17]"
никають,1,[0]
однакове,2,"[0, 7]"
склали,2,"[0, 15]"
красномовною,1,[0]
бувалоі,1,[0]
ажи,1,[0]
стрілець,3,"[0, 1, 5]"
берега,11,"[0, 1, 2, 4, 5, 8, 9, 10, 11, 14, 17]"
каблучку,4,"[0, 5, 8, 10]"
рушницю,5,"[0, 4, 5, 7, 10]"
бровою,2,"[0, 11]"
копитами,7,"[0, 5, 8, 11, 13, 15, 17]"
ваше,11,"[0, 1, 4, 5, 7, 8, 10, 11, 14, 16, 17]"
невесело,6,"[0, 4, 8, 10, 16, 17]"
відсапнувся,1,[0]
знали,15,"[0, 1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17]"
блідім,1,[0]
становищем,4,"[0, 1, 8, 10]"
височини,2,"[0, 10]"
плачучи,7,"[0, 4, 7, 8, 12, 14, 17]"
навпочіпки,2,"[0, 12]"
пусти,8,"[0, 1, 4, 5, 8, 9, 15, 17]"
буфером,1,[0]
жарти,9,"[0, 4, 5, 7, 8, 9, 10, 15, 17]"
дванадцятий,2,"[0, 10]"
хмари,14,"[0, 1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
масті,2,"[0, 4]"
зіпсувавши,1,[0]
сотворив,5,"[0, 5, 7, 8, 15]"
суворості,2,"[0, 6]"
жених,6,"[0, 5, 7, 8, 11, 16]"
босяцькою,2,"[0, 10]"
конечності,2,"[0, 1]"
втік,6,"[0, 4, 7, 8, 9, 11]"
чіпляй,1,[0]
виполохані,1,[0]
привабливим,1,[0]
нескладний,1,[0]
стрелив,1,[0]
внутрішнім,3,"[0, 10, 15]"
знайомого,6,"[0, 5, 7, 10, 12, 17]"
буботінням,1,[0]
вештається,4,"[0, 5, 7, 8]"
неспокій,3,"[0, 10, 15]"
шротинами,1,[0]
паморочливо,1,[0]
собі,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
касарні,2,"[0, 7]"
ексцентричні,1,[0]
многогрєшний,1,[0]
подалось,1,[0]
кажучи,3,"[0, 1, 4]"
пообідаєш,2,"[0, 4]"
палітрою,1,[0]
почастуєм,2,"[0, 8]"
вишневий,3,"[0, 8, 17]"
чутно,9,"[0, 4, 5, 7, 9, 10, 11, 14, 15]"
яскраві,4,"[0, 3, 7, 10]"
крок,7,"[0, 1, 7, 10, 11, 12, 13]"
навіки,14,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 15, 17]"
неймовірні,1,[0]
гулом,2,"[0, 15]"
дивних,1,[0]
лагодили,2,"[0, 8]"
потилицю,5,"[0, 4, 11, 16, 17]"
фантастична,1,[0]
кілки,3,"[0, 15, 17]"
газетах,3,"[0, 4, 14]"
невідомо,4,"[0, 6, 10, 15]"
трибуналу,2,"[0, 6]"
бринькає,1,[0]
шиби,2,"[0, 12]"
закон,8,"[0, 1, 4, 5, 7, 8, 10, 11]"
третього,8,"[0, 3, 4, 5, 7, 10, 14, 17]"
схвильовано,3,"[0, 10, 14]"
запалені,2,"[0, 11]"
допит,2,"[0, 10]"
срібно,1,[0]
жодної,6,"[0, 5, 7, 10, 11, 14]"
води,17,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
прорвану,1,[0]
теряли,1,[0]
плитки,2,"[0, 10]"
божеволійте,1,[0]
переступити,2,"[0, 7]"
діток,7,"[0, 3, 4, 5, 8, 9, 16]"
масі,3,"[0, 7, 10]"
тріщала,1,[0]
їжі,3,"[0, 10, 15]"
брався,9,"[0, 1, 4, 5, 7, 9, 10, 12, 17]"
поспівав,1,[0]
моментально,1,[0]
зашелестіло,3,"[0, 4, 17]"
щось,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
зухваліше,1,[0]
гак,1,[0]
несходимого,1,[0]
скажім,1,[0]
стовбури,4,"[0, 9, 10, 17]"
енергією,1,[0]
прикусюючи,1,[0]
питали,7,"[0, 4, 5, 7, 8, 10, 17]"
юрій,3,"[0, 14, 15]"
винограду,2,"[0, 8]"
якої,13,"[0, 1, 4, 5, 7, 8, 9, 10, 11, 12, 14, 15, 16]"
фантастичних,1,[0]
чотириярусна,1,[0]
кричав,11,"[0, 1, 4, 5, 7, 8, 10, 11, 12, 15, 17]"
заметене,1,[0]
майструвала,1,[0]
цілковитої,2,"[0, 10]"
туфелькою,1,[0]
знов,15,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17]"
прибитий,4,"[0, 1, 4, 7]"
бунтар,1,[0]
нещасний,6,"[0, 1, 4, 7, 13, 16]"
річка,6,"[0, 4, 5, 10, 11, 17]"
зграя,4,"[0, 4, 6, 12]"
чуйні,1,[0]
ямки,2,"[0, 5]"
зрушив,2,"[0, 10]"
пишаючись,3,"[0, 4, 15]"
нагнаті,1,[0]
трибунали,1,[0]
стрімке,1,[0]
берегом,8,"[0, 1, 5, 8, 9, 10, 11, 17]"
поворозки,1,[0]
вмитися,2,"[0, 10]"
вкосити,1,[0]
обпирався,1,[0]
промовчав,2,"[0, 7]"
григорієвого,1,[0]
сталін,1,[0]
відкривателями,1,[0]
мами,8,"[0, 1, 2, 7, 10, 12, 13, 15]"
розгубивсь,1,[0]
всякими,7,"[0, 3, 4, 5, 10, 12, 15]"
обмерзли,1,[0]
болюче,3,"[0, 1, 7]"
порвав,3,"[0, 9, 10]"
наступного,1,[0]
кар'єри,1,[0]
шибку,5,"[0, 4, 9, 12, 15]"
благословенним,1,[0]
заготовлені,1,[0]
насилу,13,"[0, 1, 4, 5, 7, 8, 9, 10, 11, 12, 14, 16, 17]"
бадьорий,2,"[0, 10]"
диму,9,"[0, 1, 4, 5, 6, 8, 10, 12, 15]"
відповідно,3,"[0, 1, 10]"
дум,4,"[0, 1, 8, 13]"
жменею,3,"[0, 5, 7]"
уміючії,1,[0]
кінчиться,3,"[0, 7, 10]"
хе,2,"[0, 8]"
потом,5,"[0, 4, 7, 8, 15]"
занісши,1,[0]
густо,11,"[0, 1, 4, 5, 7, 9, 10, 11, 12, 15, 17]"
такимто,1,[0]
іманом,1,[0]
убився,1,[0]
защічних,1,[0]
суворість,1,[0]
вирізами,1,[0]
кедрами,1,[0]
тпрру,1,[0]
широка,7,"[0, 1, 4, 5, 7, 8, 10]"
вовчим,4,"[0, 4, 5, 9]"
небезпеці,2,"[0, 1]"
боїться,9,"[0, 4, 5, 7, 9, 10, 12, 13, 16]"
потрібен,5,"[0, 4, 5, 10, 11]"
химерним,3,"[0, 8, 10]"
кликав,9,"[0, 1, 4, 7, 9, 10, 15, 16, 17]"
омшаником,1,[0]
поглянь,4,"[0, 1, 5, 9]"
вибралися,1,[0]
рот,11,"[0, 3, 4, 5, 7, 8, 10, 11, 12, 14, 17]"
стане,14,"[0, 1, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17]"
впала,13,"[0, 1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 14, 17]"
одноока,1,[0]
величають,2,"[0, 5]"
божевільнях,1,[0]
сніжнобілих,1,[0]
відсапувались,1,[0]
гострим,7,"[0, 4, 7, 9, 10, 15, 17]"
павлова,1,[0]
додав,8,"[0, 1, 4, 5, 7, 8, 10, 12]"
кряжами,1,[0]
панораму,1,[0]
почуттям,6,"[0, 1, 4, 7, 10, 15]"
ліворуч,4,"[0, 5, 10, 12]"
мелодійно,1,[0]
сини,8,"[0, 1, 2, 4, 5, 7, 8, 17]"
сінях,12,"[0, 1, 4, 7, 8, 9, 11, 12, 13, 14, 15, 17]"
дуплянки,1,[0]
орудували,1,[0]
аж,17,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
іскрився,1,[0]
сердито,8,"[0, 4, 7, 9, 10, 12, 15, 17]"
славних,4,"[0, 4, 5, 8]"
вийти,9,"[0, 1, 4, 5, 7, 10, 14, 15, 16]"
навхильки,1,[0]
здоровенного,3,"[0, 5, 7]"
ковнірами,1,[0]
вбивати,5,"[0, 4, 7, 10, 13]"
леті,1,[0]
прокурора,1,[0]
людей,17,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
підіймались,1,[0]
втраченої,2,"[0, 10]"
залитий,3,"[0, 4, 15]"
струмків,1,[0]
кожної,8,"[0, 3, 4, 5, 7, 10, 11, 17]"
гумових,1,[0]
заломила,3,"[0, 7, 14]"
материнського,2,"[0, 4]"
розуму,11,"[0, 1, 4, 5, 7, 8, 10, 11, 14, 16, 17]"
десятий,3,"[0, 1, 8]"
стрибавши,1,[0]
єдине,6,"[0, 1, 8, 10, 11, 13]"
виглядом,2,"[0, 10]"
паддю,1,[0]
тельбухи,2,"[0, 1]"
пограти,2,"[0, 5]"
парубоцький,3,"[0, 1, 17]"
здохла,3,"[0, 8, 15]"
темна,6,"[0, 4, 5, 6, 7, 17]"
женучи,2,"[0, 1]"
понамазували,2,"[0, 4]"
смачно,5,"[0, 4, 10, 15, 17]"
кінці,10,"[0, 1, 2, 4, 5, 7, 8, 10, 12, 17]"
жінка,15,"[0, 1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17]"
бур'яни,4,"[0, 4, 10, 16]"
таємні,4,"[0, 4, 6, 10]"
лаврентієв,1,[0]
закипіла,4,"[0, 1, 4, 8]"
мабуть,13,"[0, 1, 4, 5, 7, 8, 10, 11, 12, 13, 14, 16, 17]"
діставшись,1,[0]
ремузи,1,[0]
заряджати,1,[0]
засмалених,1,[0]
самісінької,1,[0]
запевняю,2,"[0, 6]"
шумно,4,"[0, 1, 9, 10]"
замерзнути,2,"[0, 4]"
ластівочко,1,[0]
колонізації,1,[0]
докірливий,1,[0]
комахи,2,"[0, 7]"
вибухала,1,[0]
копальні,1,[0]
добі,2,"[0, 1]"
суворо,7,"[0, 4, 6, 10, 11, 12, 17]"
слєдуйте,1,[0]
бентежне,1,[0]
затичка,1,[0]
струмом,1,[0]
вгадав,5,"[0, 4, 7, 8, 16]"
здавався,6,"[0, 4, 7, 10, 11, 17]"
сопів,2,"[0, 7]"
лось,1,[0]
викликом,2,"[0, 14]"
збирали,4,"[0, 4, 15, 17]"
увірвалась,2,"[0, 8]"
гарячі,7,"[0, 1, 4, 5, 7, 13, 15]"
бойового,1,[0]
фуфайка,1,[0]
тріпотіло,1,[0]
вимахував,4,"[0, 7, 12, 15]"
свіжо,4,"[0, 1, 7, 13]"
застукав,6,"[0, 4, 7, 12, 16, 17]"
широченним,1,[0]
рипайся,2,"[0, 4]"
білогруде,1,[0]
кусали,3,"[0, 8, 11]"
посадив,6,"[0, 4, 5, 10, 12, 17]"
росте,11,"[0, 4, 5, 6, 7, 8, 9, 10, 11, 15, 17]"
б'ється,9,"[0, 1, 4, 5, 7, 8, 9, 10, 13]"
живучим,1,[0]
вибагливі,1,[0]
крутити,4,"[0, 4, 5, 10]"
шумлять,2,"[0, 3]"
верхню,2,"[0, 4]"
веселковім,1,[0]
нагадував,5,"[0, 2, 4, 7, 10]"
придивляються,2,"[0, 5]"
шкарпетках,2,"[0, 12]"
земель,3,"[0, 1, 11]"
наталика,1,[0]
похопилися,1,[0]
нагадувало,2,"[0, 10]"
двоносе,1,[0]
заглушаючи,1,[0]
сікача,3,"[0, 10, 11]"
стежечка,5,"[0, 5, 7, 8, 13]"
розбігались,3,"[0, 10, 17]"
пащу,3,"[0, 7, 15]"
удаю,1,[0]
піонерів,1,[0]
дзюрчав,1,[0]
яблоках,1,[0]
ічага,1,[0]
стріляєте,1,[0]
професійних,1,[0]
ікону,3,"[0, 7, 10]"
фотографії,2,"[0, 10]"
смакував,4,"[0, 6, 10, 12]"
семикратний,1,[0]
мордує,3,"[0, 7, 8]"
недалеке,1,[0]
літати,3,"[0, 8, 12]"
чудак,2,"[0, 8]"
берестою,1,[0]
гумові,1,[0]
кепкує,2,"[0, 8]"
заправляй,1,[0]
дужу,1,[0]
ожили,1,[0]
бере,13,"[0, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 16, 17]"
зачинала,2,"[0, 4]"
мерехкотнява,1,[0]
коням,2,"[0, 8]"
пржевальські,1,[0]
іскорки,4,"[0, 4, 7, 17]"
пасі,1,[0]
ставив,2,"[0, 10]"
відкрився,1,[0]
душ,9,"[0, 1, 4, 5, 8, 10, 11, 12, 17]"
допомагав,2,"[0, 5]"
починається,9,"[0, 1, 3, 4, 5, 8, 9, 10, 14]"
скористаєшся,1,[0]
гаряча,11,"[0, 1, 4, 5, 7, 10, 11, 12, 14, 15, 17]"
злеє,2,"[0, 8]"
товариському,2,"[0, 5]"
зграєю,1,[0]
ноїв,1,[0]
щодня,11,"[0, 4, 5, 7, 8, 10, 11, 12, 15, 16, 17]"
красномовний,1,[0]
іркутська,1,[0]
відтинку,1,[0]
чогось,15,"[0, 1, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
витріщилось,1,[0]
дружок,2,"[0, 5]"
калініна,1,[0]
недовірок,1,[0]
ярмарку,5,"[0, 4, 5, 7, 17]"
закрутився,6,"[0, 4, 7, 10, 15, 17]"
загадку,5,"[0, 4, 5, 7, 10]"
девкам,1,[0]
мизила,1,[0]
нінащо,2,"[0, 11]"
покладаючи,1,[0]
перевірили,1,[0]
стерлядь,1,[0]
кум,3,"[0, 16, 17]"
доповнюючи,2,"[0, 7]"
буйних,1,[0]
годиною,3,"[0, 1, 7]"
кашкетик,1,[0]
павза,1,[0]
новисолоплювавши,1,[0]
спеціальним,1,[0]
вона,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
пантовщик,1,[0]
тріпотять,1,[0]
паут,1,[0]
собаки,12,"[0, 3, 4, 5, 6, 7, 8, 9, 11, 14, 15, 17]"
жартувати,4,"[0, 4, 8, 10]"
бовваніли,2,"[0, 1]"
службі,5,"[0, 4, 7, 10, 17]"
з'їсть,6,"[0, 4, 7, 8, 16, 17]"
щетиною,3,"[0, 7, 9]"
вчиняла,1,[0]
шапки,12,"[0, 1, 4, 5, 8, 9, 10, 11, 12, 15, 16, 17]"
площадках,1,[0]
слухати,12,"[0, 1, 3, 4, 5, 7, 8, 9, 10, 12, 14, 17]"
збилась,3,"[0, 4, 9]"
зидрастє,1,[0]
розплющила,2,"[0, 10]"
славні,3,"[0, 5, 8]"
туги,8,"[0, 2, 4, 5, 7, 9, 10, 11]"
шарпнув,3,"[0, 10, 15]"
розпорола,1,[0]
падаючи,3,"[0, 4, 12]"
остогидлої,1,[0]
йди,12,"[0, 1, 4, 7, 8, 9, 10, 11, 12, 13, 15, 17]"
намацали,1,[0]
непереможне,2,"[0, 10]"
пишного,4,"[0, 4, 7, 10]"
кружляв,2,"[0, 10]"
сопки,1,[0]
відшукати,1,[0]
насмикав,1,[0]
ячіння,1,[0]
вдаватися,2,"[0, 1]"
вірьовка,1,[0]
надумав,4,"[0, 1, 4, 15]"
вдавав,3,"[0, 7, 10]"
нетрищах,1,[0]
страшні,8,"[0, 1, 4, 7, 8, 10, 11, 13]"
числі,2,"[0, 10]"
чичероне,1,[0]
надокучай,1,[0]
нуу,2,"[0, 4]"
димлячи,1,[0]
країв,3,"[0, 3, 17]"
здибав,3,"[0, 7, 10]"
рудувата,1,[0]
повернувши,3,"[0, 7, 10]"
ревнувши,2,"[0, 7]"
грибів,3,"[0, 7, 17]"
вузькі,5,"[0, 1, 10, 12, 17]"
пікантна,1,[0]
сенсаційними,1,[0]
унічтожіть,1,[0]
розгортались,1,[0]
зайбакалля,1,[0]
замри,1,[0]
реві,1,[0]
втікаючи,2,"[0, 17]"
різьбленим,1,[0]
неправильний,1,[0]
зятів,2,"[0, 4]"
виламував,1,[0]
сторч,4,"[0, 8, 12, 17]"
цейсівський,1,[0]
гребли,2,"[0, 8]"
сестрою,6,"[0, 4, 5, 7, 8, 9]"
самоті,8,"[0, 1, 4, 5, 7, 8, 10, 13]"
добув,3,"[0, 4, 10]"
гриць,2,"[0, 11]"
поцікавиться,1,[0]
міклухимаклаї,1,[0]
дівоча,4,"[0, 1, 4, 7]"
патрон,2,"[0, 7]"
синійсиній,1,[0]
скептично,1,[0]
вельможі,2,"[0, 8]"
самців,1,[0]
листочок,2,"[0, 14]"
заднили,1,[0]
нудьгуєш,1,[0]
вибрала,7,"[0, 4, 7, 8, 10, 14, 17]"
колосальні,2,"[0, 10]"
прикладної,1,[0]
тече,7,"[0, 1, 5, 8, 11, 15, 17]"
перевали,2,"[0, 6]"
відповідаю,1,[0]
сплетеного,1,[0]
чорнуд,1,[0]
вражіння,2,"[0, 1]"
несподіванками,1,[0]
літ,17,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
свята,7,"[0, 4, 5, 7, 8, 11, 17]"
колонами,1,[0]
мати,15,"[0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17]"
світу,14,"[0, 1, 2, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15, 17]"
освітлених,3,"[0, 7, 10]"
поснувалась,1,[0]
признались,1,[0]
позаторік,2,"[0, 8]"
великого,12,"[0, 1, 4, 5, 6, 7, 8, 10, 11, 12, 14, 15]"
абощо,4,"[0, 4, 5, 8]"
пороблено,2,"[0, 15]"
напівреальний,1,[0]
течками,1,[0]
безумної,1,[0]
спалаху,2,"[0, 10]"
криється,4,"[0, 1, 8, 9]"
закурював,1,[0]
велетня,4,"[0, 1, 2, 10]"
перетерпимо,1,[0]
труд,3,"[0, 7, 8]"
незабаром,11,"[0, 1, 4, 5, 7, 8, 9, 10, 12, 15, 17]"
плющитьдзюркотить,1,[0]
екзотичне,1,[0]
задом,4,"[0, 3, 14, 15]"
тягнувся,2,"[0, 7]"
овес,3,"[0, 2, 7]"
декоративний,1,[0]
загнатися,1,[0]
глянувши,9,"[0, 1, 4, 5, 7, 9, 10, 12, 17]"
чортові,3,"[0, 4, 17]"
кучугуру,2,"[0, 5]"
типових,2,"[0, 1]"
недоторканна,1,[0]
тінь,13,"[0, 1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 13, 17]"
звичайно,9,"[0, 1, 7, 8, 10, 11, 13, 14, 15]"
мертва,10,"[0, 1, 5, 6, 7, 8, 10, 11, 14, 17]"
посилає,5,"[0, 1, 4, 8, 10]"
тримало,2,"[0, 7]"
державі,1,[0]
родіни,1,[0]
розпалена,1,[0]
кінчаються,2,"[0, 10]"
народження,3,"[0, 4, 10]"
шовкові,4,"[0, 4, 12, 15]"
зійшла,9,"[0, 1, 3, 4, 5, 7, 8, 10, 17]"
вимальовуються,1,[0]
галерах,3,"[0, 5, 11]"
насмішкуватої,1,[0]
вазі,1,[0]
спитала,10,"[0, 1, 4, 5, 7, 8, 10, 12, 14, 17]"
нестачею,1,[0]
прийми,7,"[0, 1, 4, 7, 8, 11, 17]"
півтемно,1,[0]
пружиною,3,"[0, 1, 10]"
козулячої,1,[0]
горіло,11,"[0, 1, 4, 5, 7, 8, 9, 10, 11, 13, 17]"
почував,5,"[0, 1, 3, 4, 10]"
кидай,6,"[0, 1, 4, 5, 8, 17]"
каяттям,1,[0]
